Date,AccountValue
2005-01-21,0
2005-01-24,-0.050000000000000044
2005-01-25,-0.20000000000000007
2005-01-26,-0.3500000000000001
2005-01-27,-0.5
2005-01-28,-0.6000000000000001
2005-01-31,-0.7500000000000001
2005-02-01,-0.9500000000000001
2005-02-02,-1.1
2005-02-03,-1.1500000000000001
2005-02-04,-1.3000000000000003
2005-02-07,-1.3500000000000003
2005-02-08,-1.4500000000000002
2005-02-09,-1.4500000000000002
2005-02-10,-1.5500000000000003
2005-02-11,-1.7000000000000002
2005-02-14,-1.8000000000000003
2005-02-15,-1.9500000000000002
2005-02-16,-2.0500000000000003
2005-02-17,-2.1
2005-02-18,-2.2
2005-02-22,-2.1500000000000004
2005-02-23,-2.2500000000000004
2005-02-24,-2.4000000000000004
2005-02-25,-2.5500000000000003
2005-02-28,-2.5500000000000003
2005-03-01,-2.6500000000000004
2005-03-02,-2.7
2005-03-03,-2.8000000000000003
2005-03-04,-3.0000000000000004
2005-03-07,-3.1000000000000005
2005-03-08,-3.1000000000000005
2005-03-09,-3.0500000000000007
2005-03-10,-3.150000000000001
2005-03-11,-3.150000000000001
2005-03-14,-3.3000000000000007
2005-03-15,-3.3500000000000005
2005-03-16,-3.3500000000000005
2005-03-17,-3.4000000000000004
2005-03-18,-3.5000000000000004
2005-03-21,-3.5500000000000003
2005-03-22,-3.5500000000000003
2005-03-23,-3.6500000000000004
2005-03-24,-3.7500000000000004
2005-03-28,-3.8500000000000005
2005-03-29,-3.8500000000000005
2005-03-30,-4.050000000000001
2005-03-31,-4.15
2005-04-01,-4.15
2005-04-04,-4.25
2005-04-05,-4.4
2005-04-06,-4.550000000000001
2005-04-07,-4.700000000000001
2005-04-08,-4.700000000000001
2005-04-11,-4.800000000000001
2005-04-12,-4.9
2005-04-13,-4.8500000000000005
2005-04-14,-4.750000000000001
2005-04-15,-4.550000000000001
2005-04-18,-4.700000000000001
2005-04-19,-4.900000000000001
2005-04-20,-4.800000000000001
2005-04-21,-5.1000000000000005
2005-04-22,-5.1000000000000005
2005-04-25,-5.300000000000001
2005-04-26,-5.300000000000001
2005-04-27,-5.4
2005-04-28,-5.3500000000000005
2005-04-29,-5.550000000000001
2005-05-02,-5.700000000000001
2005-05-03,-5.800000000000001
2005-05-04,-6.000000000000001
2005-05-05,-6.150000000000001
2005-05-06,-6.200000000000001
2005-05-09,-6.350000000000001
2005-05-10,-6.300000000000002
2005-05-11,-6.400000000000001
2005-05-12,-6.350000000000001
2005-05-13,-6.350000000000001
2005-05-16,-6.550000000000002
2005-05-17,-6.700000000000002
2005-05-18,-6.900000000000002
2005-05-19,-7.0500000000000025
2005-05-20,-7.150000000000002
2005-05-23,-7.350000000000002
2005-05-24,-7.450000000000002
2005-05-25,-7.500000000000002
2005-05-26,-7.600000000000001
2005-05-27,-7.700000000000001
2005-05-31,-7.700000000000001
2005-06-01,-7.900000000000001
2005-06-02,-8.05
2005-06-03,-8.100000000000001
2005-06-06,-8.200000000000001
2005-06-07,-8.3
2005-06-08,-8.350000000000001
2005-06-09,-8.450000000000001
2005-06-10,-8.55
2005-06-13,-8.700000000000001
2005-06-14,-8.8
2005-06-15,-8.950000000000001
2005-06-16,-9.100000000000001
2005-06-17,-9.200000000000001
2005-06-20,-9.250000000000002
2005-06-21,-9.450000000000001
2005-06-22,-9.600000000000001
2005-06-23,-9.500000000000002
2005-06-24,-9.500000000000002
2005-06-27,-9.600000000000001
2005-06-28,-9.850000000000001
2005-06-29,-9.950000000000001
2005-06-30,-10.000000000000002
2005-07-01,-10.150000000000002
2005-07-05,-10.350000000000001
2005-07-06,-10.400000000000002
2005-07-07,-10.450000000000003
2005-07-08,-10.700000000000003
2005-07-11,-10.850000000000003
2005-07-12,-10.950000000000003
2005-07-13,-11.050000000000002
2005-07-14,-11.150000000000002
2005-07-15,-11.200000000000003
2005-07-18,-11.250000000000004
2005-07-19,-11.400000000000004
2005-07-20,-11.550000000000004
2005-07-21,-11.550000000000004
2005-07-22,-11.650000000000004
2005-07-25,-11.700000000000005
2005-07-26,-11.850000000000005
2005-07-27,-11.950000000000005
2005-07-28,-12.100000000000005
2005-07-29,-12.050000000000004
2005-08-01,-12.050000000000004
2005-08-02,-12.250000000000004
2005-08-03,-12.350000000000003
2005-08-04,-12.300000000000002
2005-08-05,-12.300000000000002
2005-08-08,-12.350000000000003
2005-08-09,-12.550000000000002
2005-08-10,-12.600000000000003
2005-08-11,-12.750000000000004
2005-08-12,-12.800000000000004
2005-08-15,-12.950000000000005
2005-08-16,-12.900000000000004
2005-08-17,-13.000000000000004
2005-08-18,-13.050000000000004
2005-08-19,-13.150000000000004
2005-08-22,-13.250000000000004
2005-08-23,-13.300000000000004
2005-08-24,-13.300000000000004
2005-08-25,-13.400000000000004
2005-08-26,-13.400000000000004
2005-08-29,-13.550000000000004
2005-08-30,-13.550000000000004
2005-08-31,-13.700000000000005
2005-09-01,-13.750000000000005
2005-09-02,-13.800000000000006
2005-09-06,-14.000000000000005
2005-09-07,-14.150000000000006
2005-09-08,-14.200000000000006
2005-09-09,-14.350000000000007
2005-09-12,-14.450000000000006
2005-09-13,-14.450000000000006
2005-09-14,-14.500000000000007
2005-09-15,-14.600000000000007
2005-09-16,-14.800000000000006
2005-09-19,-14.800000000000006
2005-09-20,-14.800000000000006
2005-09-21,-14.750000000000005
2005-09-22,-14.900000000000006
2005-09-23,-15.050000000000006
2005-09-26,-15.200000000000006
2005-09-27,-15.300000000000006
2005-09-28,-15.400000000000006
2005-09-29,-15.550000000000006
2005-09-30,-15.650000000000006
2005-10-03,-15.700000000000006
2005-10-04,-15.650000000000006
2005-10-05,-15.550000000000006
2005-10-06,-15.600000000000007
2005-10-07,-15.750000000000007
2005-10-10,-15.750000000000007
2005-10-11,-15.850000000000007
2005-10-12,-15.850000000000007
2005-10-13,-15.900000000000007
2005-10-14,-16.150000000000006
2005-10-17,-16.300000000000004
2005-10-18,-16.300000000000004
2005-10-19,-16.550000000000004
2005-10-20,-16.350000000000005
2005-10-21,-16.450000000000006
2005-10-24,-16.700000000000006
2005-10-25,-16.800000000000008
2005-10-26,-16.85000000000001
2005-10-27,-16.800000000000008
2005-10-28,-17.050000000000008
2005-10-31,-17.200000000000006
2005-11-01,-17.350000000000005
2005-11-02,-17.550000000000004
2005-11-03,-17.700000000000003
2005-11-04,-17.750000000000004
2005-11-07,-17.900000000000002
2005-11-08,-18.000000000000004
2005-11-09,-18.100000000000005
2005-11-10,-18.250000000000004
2005-11-11,-18.350000000000005
2005-11-14,-18.400000000000006
2005-11-15,-18.400000000000006
2005-11-16,-18.550000000000004
2005-11-17,-18.750000000000004
2005-11-18,-18.900000000000002
2005-11-21,-19.05
2005-11-22,-19.150000000000002
2005-11-23,-19.3
2005-11-25,-19.400000000000002
2005-11-28,-19.400000000000002
2005-11-29,-19.500000000000004
2005-11-30,-19.550000000000004
2005-12-01,-19.700000000000003
2005-12-02,-19.800000000000004
2005-12-05,-19.900000000000006
2005-12-06,-20.000000000000007
2005-12-07,-20.050000000000008
2005-12-08,-20.15000000000001
2005-12-09,-20.300000000000008
2005-12-12,-20.40000000000001
2005-12-13,-20.50000000000001
2005-12-14,-20.600000000000012
2005-12-15,-20.700000000000014
2005-12-16,-20.750000000000014
2005-12-19,-20.800000000000015
2005-12-20,-20.900000000000016
2005-12-21,-21.050000000000015
2005-12-22,-21.200000000000014
2005-12-23,-21.350000000000012
2005-12-27,-21.30000000000001
2005-12-28,-21.400000000000013
2005-12-29,-21.450000000000014
2005-12-30,-21.500000000000014
2006-01-03,-21.800000000000015
2006-01-04,-21.900000000000016
2006-01-05,-21.950000000000017
2006-01-06,-22.100000000000016
2006-01-09,-22.200000000000017
2006-01-10,-22.30000000000002
2006-01-11,-22.40000000000002
2006-01-12,-22.45000000000002
2006-01-13,-22.50000000000002
2006-01-17,-22.550000000000022
2006-01-18,-22.600000000000023
2006-01-19,-22.700000000000024
2006-01-20,-22.550000000000026
2006-01-23,-22.650000000000027
2006-01-24,-22.800000000000026
2006-01-25,-22.900000000000027
2006-01-26,-23.050000000000026
2006-01-27,-23.200000000000024
2006-01-30,-23.300000000000026
2006-01-31,-23.350000000000026
2006-02-01,-23.500000000000025
2006-02-02,-23.500000000000025
2006-02-03,-23.550000000000026
2006-02-06,-23.650000000000027
2006-02-07,-23.700000000000028
2006-02-08,-23.850000000000026
2006-02-09,-23.950000000000028
2006-02-10,-24.100000000000026
2006-02-13,-24.150000000000027
2006-02-14,-24.350000000000026
2006-02-15,-24.450000000000028
2006-02-16,-24.600000000000026
2006-02-17,-24.650000000000027
2006-02-21,-24.700000000000028
2006-02-22,-24.80000000000003
2006-02-23,-24.85000000000003
2006-02-24,-25.00000000000003
2006-02-27,-25.150000000000027
2006-02-28,-25.150000000000027
2006-03-01,-25.25000000000003
2006-03-02,-25.30000000000003
2006-03-03,-25.35000000000003
2006-03-06,-25.45000000000003
2006-03-07,-25.500000000000032
2006-03-08,-25.600000000000033
2006-03-09,-25.650000000000034
2006-03-10,-25.750000000000036
2006-03-13,-25.850000000000037
2006-03-14,-25.95000000000004
2006-03-15,-26.05000000000004
2006-03-16,-26.10000000000004
2006-03-17,-26.15000000000004
2006-03-20,-26.200000000000042
2006-03-21,-26.250000000000043
2006-03-22,-26.40000000000004
2006-03-23,-26.500000000000043
2006-03-24,-26.600000000000044
2006-03-27,-26.650000000000045
2006-03-28,-26.650000000000045
2006-03-29,-26.800000000000043
2006-03-30,-26.850000000000044
2006-03-31,-26.950000000000045
2006-04-03,-27.050000000000047
2006-04-04,-27.200000000000045
2006-04-05,-27.300000000000047
2006-04-06,-27.40000000000005
2006-04-07,-27.45000000000005
2006-04-10,-27.55000000000005
2006-04-11,-27.60000000000005
2006-04-12,-27.700000000000053
2006-04-13,-27.800000000000054
2006-04-17,-27.850000000000055
2006-04-18,-28.050000000000054
2006-04-19,-28.150000000000055
2006-04-20,-28.250000000000057
2006-04-21,-28.35000000000006
2006-04-24,-28.45000000000006
2006-04-25,-28.50000000000006
2006-04-26,-28.600000000000062
2006-04-27,-28.700000000000063
2006-04-28,-28.800000000000065
2006-05-01,-28.850000000000065
2006-05-02,-28.950000000000067
2006-05-03,-29.050000000000068
2006-05-04,-29.15000000000007
2006-05-05,-29.25000000000007
2006-05-08,-29.350000000000072
2006-05-09,-29.450000000000074
2006-05-10,-29.500000000000075
2006-05-11,-29.550000000000075
2006-05-12,-29.550000000000075
2006-05-15,-29.650000000000077
2006-05-16,-29.750000000000078
2006-05-17,-29.650000000000077
2006-05-18,-29.700000000000077
2006-05-19,-29.80000000000008
2006-05-22,-29.80000000000008
2006-05-23,-29.80000000000008
2006-05-24,-29.90000000000008
2006-05-25,-30.15000000000008
2006-05-26,-30.30000000000008
2006-05-30,-30.10000000000008
2006-05-31,-30.35000000000008
2006-06-01,-30.60000000000008
2006-06-02,-30.70000000000008
2006-06-05,-30.65000000000008
2006-06-06,-30.70000000000008
2006-06-07,-30.70000000000008
2006-06-08,-30.800000000000082
2006-06-09,-30.850000000000083
2006-06-12,-30.75000000000008
2006-06-13,-30.600000000000083
2006-06-14,-30.850000000000083
2006-06-15,-31.350000000000083
2006-06-16,-31.300000000000082
2006-06-19,-31.25000000000008
2006-06-20,-31.350000000000083
2006-06-21,-31.650000000000084
2006-06-22,-31.700000000000085
2006-06-23,-31.800000000000086
2006-06-26,-31.950000000000085
2006-06-27,-31.900000000000084
2006-06-28,-32.05000000000008
2006-06-29,-32.45000000000008
2006-06-30,-32.60000000000008
2006-07-03,-32.75000000000008
2006-07-05,-32.75000000000008
2006-07-06,-32.90000000000008
2006-07-07,-32.90000000000008
2006-07-10,-33.00000000000008
2006-07-11,-33.20000000000008
2006-07-12,-33.20000000000008
2006-07-13,-33.00000000000008
2006-07-14,-33.050000000000075
2006-07-17,-33.15000000000008
2006-07-18,-33.35000000000008
2006-07-19,-33.75000000000008
2006-07-20,-33.70000000000008
2006-07-21,-33.70000000000008
2006-07-24,-34.10000000000008
2006-07-25,-34.30000000000008
2006-07-26,-34.45000000000008
2006-07-27,-34.50000000000008
2006-07-28,-34.70000000000008
2006-07-31,-34.75000000000008
2006-08-01,-34.800000000000075
2006-08-02,-35.00000000000008
2006-08-03,-35.15000000000008
2006-08-04,-35.25000000000008
2006-08-07,-35.300000000000075
2006-08-08,-35.35000000000007
2006-08-09,-35.40000000000007
2006-08-10,-35.55000000000007
2006-08-11,-35.65000000000007
2006-08-14,-35.75000000000007
2006-08-15,-36.00000000000007
2006-08-16,-36.200000000000074
2006-08-17,-36.300000000000075
2006-08-18,-36.450000000000074
2006-08-21,-36.550000000000075
2006-08-22,-36.65000000000008
2006-08-23,-36.700000000000074
2006-08-24,-36.800000000000075
2006-08-25,-36.90000000000008
2006-08-28,-37.050000000000075
2006-08-29,-37.15000000000008
2006-08-30,-37.25000000000008
2006-08-31,-37.35000000000008
2006-09-01,-37.50000000000008
2006-09-05,-37.60000000000008
2006-09-06,-37.60000000000008
2006-09-07,-37.60000000000008
2006-09-08,-37.75000000000008
2006-09-11,-37.85000000000008
2006-09-12,-38.00000000000008
2006-09-13,-38.10000000000008
2006-09-14,-38.15000000000008
2006-09-15,-38.300000000000075
2006-09-18,-38.35000000000007
2006-09-19,-38.40000000000007
2006-09-20,-38.55000000000007
2006-09-21,-38.600000000000065
2006-09-22,-38.65000000000006
2006-09-25,-38.850000000000065
2006-09-26,-39.05000000000007
2006-09-27,-39.15000000000007
2006-09-28,-39.20000000000007
2006-09-29,-39.250000000000064
2006-10-02,-39.350000000000065
2006-10-03,-39.45000000000007
2006-10-04,-39.65000000000007
2006-10-05,-39.75000000000007
2006-10-06,-39.85000000000007
2006-10-09,-39.950000000000074
2006-10-10,-40.050000000000075
2006-10-11,-40.10000000000007
2006-10-12,-40.32000000000007
2006-10-13,-40.42000000000007
2006-10-16,-40.520000000000074
2006-10-17,-40.57000000000007
2006-10-18,-40.62000000000007
2006-10-19,-40.72000000000007
2006-10-20,-40.82000000000007
2006-10-23,-40.92000000000007
2006-10-24,-41.020000000000074
2006-10-25,-41.07000000000007
2006-10-26,-41.17000000000007
2006-10-27,-41.22000000000007
2006-10-30,-41.32000000000007
2006-10-31,-41.42000000000007
2006-11-01,-41.47000000000007
2006-11-02,-41.52000000000007
2006-11-03,-41.570000000000064
2006-11-06,-41.670000000000066
2006-11-07,-41.77000000000007
2006-11-08,-41.87000000000007
2006-11-09,-41.920000000000066
2006-11-10,-42.02000000000007
2006-11-13,-42.12000000000007
2006-11-14,-42.27000000000007
2006-11-15,-42.37000000000007
2006-11-16,-42.47000000000007
2006-11-17,-42.57000000000007
2006-11-20,-42.67000000000007
2006-11-21,-42.72000000000007
2006-11-22,-42.77000000000007
2006-11-24,-42.820000000000064
2006-11-27,-42.820000000000064
2006-11-28,-42.97000000000006
2006-11-29,-43.070000000000064
2006-11-30,-43.170000000000066
2006-12-01,-43.27000000000007
2006-12-04,-43.37000000000007
2006-12-05,-43.47000000000007
2006-12-06,-43.52000000000007
2006-12-07,-43.570000000000064
2006-12-08,-43.670000000000066
